sku,price
s0000,0.105
s0001,1.105
s0002,2.105
s0003,3.105
s0004,4.105
s0005,5.105
s0006,6.105
s0007,7.105
s0008,8.105
s0009,9.105
s0010,10.105
s0011,11.105
s0012,12.105
s0013,13.105
s0014,14.105
s0015,15.105
s0016,16.105
s0017,17.105
s0018,18.105
s0019,19.105
s0020,20.105
s0021,21.105
s0022,22.105
s0023,23.105
s0024,24.105
s0025,25.105
s0026,26.105
s0027,27.105
s0028,28.105
s0029,29.105
s0030,30.105
s0031,31.105
s0032,32.105
s0033,33.105
s0034,34.105
s0035,35.105
s0036,36.105
s0037,37.105
s0038,38.105
s0039,39.105
s0040,40.105
s0041,41.105
s0042,42.105
s0043,43.105
s0044,44.105
s0045,45.105
s0046,46.105
s0047,47.105
s0048,48.105
s0049,49.105
s0050,50.105
s0051,51.105
s0052,52.105
s0053,53.105
s0054,54.105
s0055,55.105
s0056,56.105
s0057,57.105
s0058,58.105
s0059,59.105
s0060,60.105
s0061,61.105
s0062,62.105
s0063,63.105
s0064,64.105
s0065,65.105
s0066,66.105
s0067,67.105
s0068,68.105
s0069,69.105
s0070,70.105
s0071,71.105
s0072,72.105
s0073,73.105
s0074,74.105
s0075,75.105
s0076,76.105
s0077,77.105
s0078,78.105
s0079,79.105
s0080,80.105
s0081,81.105
s0082,82.105
s0083,83.105
s0084,84.105
s0085,85.105
s0086,86.105
s0087,87.105
s0088,88.105
s0089,89.105
s0090,90.105
s0091,91.105
s0092,92.105
s0093,93.105
s0094,94.105
s0095,95.105
s0096,96.105
s0097,0.105
s0098,1.105
s0099,2.105
s0100,3.105
s0101,4.105
s0102,5.105
s0103,6.105
s0104,7.105
s0105,8.105
s0106,9.105
s0107,10.105
s0108,11.105
s0109,12.105
s0110,13.105
s0111,14.105
s0112,15.105
s0113,16.105
s0114,17.105
s0115,18.105
s0116,19.105
s0117,20.105
s0118,21.105
s0119,22.105
s0120,23.105
s0121,24.105
s0122,25.105
s0123,26.105
s0124,27.105
s0125,28.105
s0126,29.105
s0127,30.105
s0128,31.105
s0129,32.105
s0130,33.105
s0131,34.105
s0132,35.105
s0133,36.105
s0134,37.105
s0135,38.105
s0136,39.105
s0137,40.105
s0138,41.105
s0139,42.105
s0140,43.105
s0141,44.105
s0142,45.105
s0143,46.105
s0144,47.105
s0145,48.105
s0146,49.105
s0147,50.105
s0148,51.105
s0149,52.105
s0150,53.105
s0151,54.105
s0152,55.105
s0153,56.105
s0154,57.105
s0155,58.105
s0156,59.105
s0157,60.105
s0158,61.105
s0159,62.105
s0160,63.105
s0161,64.105
s0162,65.105
s0163,66.105
s0164,67.105
s0165,68.105
s0166,69.105
s0167,70.105
s0168,71.105
s0169,72.105
s0170,73.105
s0171,74.105
s0172,75.105
s0173,76.105
s0174,77.105
s0175,78.105
s0176,79.105
s0177,80.105
s0178,81.105
s0179,82.105
s0180,83.105
s0181,84.105
s0182,85.105
s0183,86.105
s0184,87.105
s0185,88.105
s0186,89.105
s0187,90.105
s0188,91.105
s0189,92.105
s0190,93.105
s0191,94.105
s0192,95.105
s0193,96.105
s0194,0.105
s0195,1.105
s0196,2.105
s0197,3.105
s0198,4.105
s0199,5.105
s0200,6.105
s0201,7.105
s0202,8.105
s0203,9.105
s0204,10.105
s0205,11.105
s0206,12.105
s0207,13.105
s0208,14.105
s0209,15.105
s0210,16.105
s0211,17.105
s0212,18.105
s0213,19.105
s0214,20.105
s0215,21.105
s0216,22.105
s0217,23.105
s0218,24.105
s0219,25.105
s0220,26.105
s0221,27.105
s0222,28.105
s0223,29.105
s0224,30.105
s0225,31.105
s0226,32.105
s0227,33.105
s0228,34.105
s0229,35.105
s0230,36.105
s0231,37.105
s0232,38.105
s0233,39.105
s0234,40.105
s0235,41.105
s0236,42.105
s0237,43.105
s0238,44.105
s0239,45.105
s0240,46.105
s0241,47.105
s0242,48.105
s0243,49.105
s0244,50.105
s0245,51.105
s0246,52.105
s0247,53.105
s0248,54.105
s0249,55.105
s0250,56.105
s0251,57.105
s0252,58.105
s0253,59.105
s0254,60.105
s0255,61.105
s0256,62.105
s0257,63.105
s0258,64.105
s0259,65.105
s0260,66.105
s0261,67.105
s0262,68.105
s0263,69.105
s0264,70.105
s0265,71.105
s0266,72.105
s0267,73.105
s0268,74.105
s0269,75.105
s0270,76.105
s0271,77.105
s0272,78.105
s0273,79.105
s0274,80.105
s0275,81.105
s0276,82.105
s0277,83.105
s0278,84.105
s0279,85.105
s0280,86.105
s0281,87.105
s0282,88.105
s0283,89.105
s0284,90.105
s0285,91.105
s0286,92.105
s0287,93.105
s0288,94.105
s0289,95.105
s0290,96.105
s0291,0.105
s0292,1.105
s0293,2.105
s0294,3.105
s0295,4.105
s0296,5.105
s0297,6.105
s0298,7.105
s0299,8.105
s0300,9.105
s0301,10.105
s0302,11.105
s0303,12.105
s0304,13.105
s0305,14.105
s0306,15.105
s0307,16.105
s0308,17.105
s0309,18.105
s0310,19.105
s0311,20.105
s0312,21.105
s0313,22.105
s0314,23.105
s0315,24.105
s0316,25.105
s0317,26.105
s0318,27.105
s0319,28.105
s0320,29.105
s0321,30.105
s0322,31.105
s0323,32.105
s0324,33.105
s0325,34.105
s0326,35.105
s0327,36.105
s0328,37.105
s0329,38.105
s0330,39.105
s0331,40.105
s0332,41.105
s0333,42.105
s0334,43.105
s0335,44.105
s0336,45.105
s0337,46.105
s0338,47.105
s0339,48.105
s0340,49.105
s0341,50.105
s0342,51.105
s0343,52.105
s0344,53.105
s0345,54.105
s0346,55.105
s0347,56.105
s0348,57.105
s0349,58.105
s0350,59.105
s0351,60.105
s0352,61.105
s0353,62.105
s0354,63.105
s0355,64.105
s0356,65.105
s0357,66.105
s0358,67.105
s0359,68.105
s0360,69.105
s0361,70.105
s0362,71.105
s0363,72.105
s0364,73.105
s0365,74.105
s0366,75.105
s0367,76.105
s0368,77.105
s0369,78.105
s0370,79.105
s0371,80.105
s0372,81.105
s0373,82.105
s0374,83.105
s0375,84.105
s0376,85.105
s0377,86.105
s0378,87.105
s0379,88.105
s0380,89.105
s0381,90.105
s0382,91.105
s0383,92.105
s0384,93.105
s0385,94.105
s0386,95.105
s0387,96.105
s0388,0.105
s0389,1.105
s0390,2.105
s0391,3.105
s0392,4.105
s0393,5.105
s0394,6.105
s0395,7.105
s0396,8.105
s0397,9.105
s0398,10.105
s0399,11.105
s0400,12.105
s0401,13.105
s0402,14.105
s0403,15.105
s0404,16.105
s0405,17.105
s0406,18.105
s0407,19.105
s0408,20.105
s0409,21.105
s0410,22.105
s0411,23.105
s0412,24.105
s0413,25.105
s0414,26.105
s0415,27.105
s0416,28.105
s0417,29.105
s0418,30.105
s0419,31.105
s0420,32.105
s0421,33.105
s0422,34.105
s0423,35.105
s0424,36.105
s0425,37.105
s0426,38.105
s0427,39.105
s0428,40.105
s0429,41.105
s0430,42.105
s0431,43.105
s0432,44.105
s0433,45.105
s0434,46.105
s0435,47.105
s0436,48.105
s0437,49.105
s0438,50.105
s0439,51.105
s0440,52.105
s0441,53.105
s0442,54.105
s0443,55.105
s0444,56.105
s0445,57.105
s0446,58.105
s0447,59.105
s0448,60.105
s0449,61.105
s0450,62.105
s0451,63.105
s0452,64.105
s0453,65.105
s0454,66.105
s0455,67.105
s0456,68.105
s0457,69.105
s0458,70.105
s0459,71.105
s0460,72.105
s0461,73.105
s0462,74.105
s0463,75.105
s0464,76.105
s0465,77.105
s0466,78.105
s0467,79.105
s0468,80.105
s0469,81.105
s0470,82.105
s0471,83.105
s0472,84.105
s0473,85.105
s0474,86.105
s0475,87.105
s0476,88.105
s0477,89.105
s0478,90.105
s0479,91.105
s0480,92.105
s0481,93.105
