id,sku,qty
z00000,nope,1
z00001,s0001,2
z00002,s0002,3
z00003,s0003,4
z00004,s0004,5
z00005,s0005,6
z00006,s0006,7
z00007,s0007,8
z00008,s0008,9
z00009,s0009,1
z00010,s0010,2
z00011,s0011,3
z00012,s0012,4
z00013,s0013,5
z00014,s0014,6
z00015,s0015,7
z00016,s0016,8
z00017,nope,9
z00018,s0018,1
z00019,s0019,2
z00020,s0020,3
z00021,s0021,4
z00022,s0022,5
z00023,s0023,6
z00024,s0024,7
z00025,s0025,8
z00026,s0026,9
z00027,s0027,1
z00028,s0028,2
z00029,s0029,3
z00030,s0030,4
z00031,s0031,5
z00032,s0032,6
z00033,s0033,7
z00034,nope,8
z00035,s0035,9
z00036,s0036,1
z00037,s0037,2
z00038,s0038,3
z00039,s0039,4
z00040,s0040,5
z00041,s0041,6
z00042,s0042,7
z00043,s0043,8
z00044,s0044,9
z00045,s0045,1
z00046,s0046,2
z00047,s0047,3
z00048,s0048,4
z00049,s0049,5
z00050,s0050,6
z00051,nope,7
z00052,s0052,8
z00053,s0053,9
z00054,s0054,1
z00055,s0055,2
z00056,s0056,3
z00057,s0057,4
z00058,s0058,5
z00059,s0059,6
z00060,s0060,7
z00061,s0061,8
z00062,s0062,9
z00063,s0063,1
z00064,s0064,2
z00065,s0065,3
z00066,s0066,4
z00067,s0067,5
z00068,nope,6
z00069,s0069,7
z00070,s0070,8
z00071,s0071,9
z00072,s0072,1
z00073,s0073,2
z00074,s0074,3
z00075,s0075,4
z00076,s0076,5
z00077,s0077,6
z00078,s0078,7
z00079,s0079,8
z00080,s0080,9
z00081,s0081,1
z00082,s0082,2
z00083,s0083,3
z00084,s0084,4
z00085,nope,5
z00086,s0086,6
z00087,s0087,7
z00088,s0088,8
z00089,s0089,9
z00090,s0090,1
z00091,s0091,2
z00092,s0092,3
z00093,s0093,4
z00094,s0094,5
z00095,s0095,6
z00096,s0096,7
z00097,s0097,8
z00098,s0098,9
z00099,s0099,1
z00100,s0100,2
z00101,s0101,3
z00102,nope,4
z00103,s0103,5
z00104,s0104,6
z00105,s0105,7
z00106,s0106,8
z00107,s0107,9
z00108,s0108,1
z00109,s0109,2
z00110,s0110,3
z00111,s0111,4
z00112,s0112,5
z00113,s0113,6
z00114,s0114,7
z00115,s0115,8
z00116,s0116,9
z00117,s0117,1
z00118,s0118,2
z00119,nope,3
z00120,s0120,4
z00121,s0121,5
z00122,s0122,6
z00123,s0123,7
z00124,s0124,8
z00125,s0125,9
z00126,s0126,1
z00127,s0127,2
z00128,s0128,3
z00129,s0129,4
z00130,s0130,5
z00131,s0131,6
z00132,s0132,7
z00133,s0133,8
z00134,s0134,9
z00135,s0135,1
z00136,nope,2
z00137,s0137,3
z00138,s0138,4
z00139,s0139,5
z00140,s0140,6
z00141,s0141,7
z00142,s0142,8
z00143,s0143,9
z00144,s0144,1
z00145,s0145,2
z00146,s0146,3
z00147,s0147,4
z00148,s0148,5
z00149,s0149,6
z00150,s0150,7
z00151,s0151,8
z00152,s0152,9
z00153,nope,1
z00154,s0154,2
z00155,s0155,3
z00156,s0156,4
z00157,s0157,5
z00158,s0158,6
z00159,s0159,7
z00160,s0160,8
z00161,s0161,9
z00162,s0162,1
z00163,s0163,2
z00164,s0164,3
z00165,s0165,4
z00166,s0166,5
z00167,s0167,6
z00168,s0168,7
z00169,s0169,8
z00170,nope,9
z00171,s0171,1
z00172,s0172,2
z00173,s0173,3
z00174,s0174,4
z00175,s0175,5
z00176,s0176,6
z00177,s0177,7
z00178,s0178,8
z00179,s0179,9
z00180,s0180,1
z00181,s0181,2
z00182,s0182,3
z00183,s0183,4
z00184,s0184,5
z00185,s0185,6
z00186,s0186,7
z00187,nope,8
z00188,s0188,9
z00189,s0189,1
z00190,s0190,2
z00191,s0191,3
z00192,s0192,4
z00193,s0193,5
z00194,s0194,6
z00195,s0195,7
z00196,s0196,8
z00197,s0197,9
z00198,s0198,1
z00199,s0199,2
z00200,s0200,3
z00201,s0201,4
z00202,s0202,5
z00203,s0203,6
z00204,nope,7
z00205,s0205,8
z00206,s0206,9
z00207,s0207,1
z00208,s0208,2
z00209,s0209,3
z00210,s0210,4
z00211,s0211,5
z00212,s0212,6
z00213,s0213,7
z00214,s0214,8
z00215,s0215,9
z00216,s0216,1
